Station Name,City,Postal Code,Address 1,Address 2,Location,Customer Category,Customer Subcategory,Model Number,Org Name,MAC Address,System S/N,Floor Label,State,County,Country ,Activation Status,Network Status,Station Status,Port 1 Status,Port 2 Status,No. of Ports,Pricing Policy Name,Reservations,Station Message,Enabled,Station Activation Type,Usable By,Visibility (Access Policy Name),EVSE ID,Radio Group Name,Software Version,Circuit Sharing,Currency Name,Power Select,Scheduled Charging Policy Name,Warranty,Station Activation Date,Warranty Expiration Date,Warranty Service,Waitlist Policy Name,Asset Tag ID,Meter ID,Service Delivery Point ID,Point of Service ID,Account ID,Circuit ID,Panel ID,Customer Name,Customer ID,Site ID,Site mode
MAVERIK / MAVERIK 488 1,Draper,84020,14814 Minuteman Dr,,,Retail,Shopping Center,CPE200T-S-CHD-CMB,Maverik,000D:6F00:04F8:89C0,22925,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,,1,Urban Sites DC Fast,Disabled,,Yes,Public,All Drivers,No Drivers,328211,14814 Minuteman Dr DC Fast,3.7.9.4-23874e35/v1.5.70000000000,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,5/8/2018 10:39,5/8/2021,Parts & Labor,,,,,,,,,,,,
SALT LAKE CITY / SLC FACIL SERV2,Salt Lake City,84111,212 E 600 S,,Workplace,Fleet,Distributed,CPF25,Salt Lake City Corporation,0024:B100:0003:1356,1.84141E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,,1,,Disabled,,Yes,Public,All Drivers,No Drivers,1827141,SLC Facility Services,5.3.2.10,Disabled,U.S. Dollars (USD),40A,,Standard Warranty,7/9/2019 15:08,7/9/2020,Parts Only,,,,,,,,,,,,
SLC AIRPORT / ECONOMY 1,Salt Lake City,84114,475 North 3820,,Airport,Parking,Airport,CT4025-HD-GW,Salt Lake City Department of Airports,0024:B100:0002:738C,1.71241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,Economy Parking Lot,Yes,Public,All Drivers,All Drivers,197801,CT4K GW1,4.3.5.93,Disabled,,40A,,ChargePoint Assure,6/20/2018 10:57,6/20/2022,Parts & Labor,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
SLC AIRPORT / ECONOMY 2,Salt Lake City,84114,475 North 3820 West,,Airport,Parking,Airport,CT4025-HD,Salt Lake City Department of Airports,0024:B100:0002:73E7,1.71241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,Economy Parking Lot,Yes,Public,All Drivers,All Drivers,198179,CT4K GW1,4.3.5.93,Disabled,,40A,,ChargePoint Assure,6/20/2018 11:11,6/20/2022,Parts & Labor,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
UVU / FAST CHARGER,Orem,84058,College Dr,,,Education,University / College,CPE200T-S-CHD-CMB,Utah Valley University,000D:6F00:04F8:A1D3,121834,,Utah,Utah County,United States,Activated,Reachable,Needs Service,Needs Service,,1,,Disabled,Hourly visitor parking rates apply while charging,Yes,Public,All Drivers,No Drivers,361941,Fast Charger,3.7.9.4-23874e35/v1.5.70000000000,Disabled,,40A,,ChargePoint Assure,8/14/2018 7:23,8/14/2021,Parts & Labor,,,,,,,,,,,,
MAVERIK / MAVERIK 533 1,Wellsville,84339,748 E Main St,,,Retail,Shopping Center,CPE200T-S-CHD-CMB,Maverik,000D:6F00:04F8:A3E8,82946,,Utah,Cache County,United States,Activated,Reachable,Available,Available,,1,Urban Sites DC Fast,Disabled,,Yes,Public,All Drivers,No Drivers,362091,Maverik 533 1,3.7.9.4-23874e35/v1.5.70000000000,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,6/7/2018 7:19,6/7/2021,Parts & Labor,,,,,,,,,,,,
MAVERIK / MAVERIK 508-1,Stansbury Park,84074,6527 N HWY 36,,,Retail,Shopping Center,CPE200T-S-CHD-CMB,Maverik,000D:6F00:04F9:5B88,108163,,Utah,Tooele County,United States,Activated,Reachable,Available,Available,,1,Urban Sites DC Fast,Disabled,,Yes,Public,All Drivers,No Drivers,467281,6527 N HWY 36 DC,3.7.9.4-23874e35/v1.5.70000000000,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,5/22/2018 7:35,5/22/2021,Parts & Labor,,,,,,,,,,,,
MAVERIK / MAVERIK 481 1,Farr West,84404,1874 W 2700 N,,,Retail,Shopping Center,CPE200T-S-CHD-CMB,Maverik,000D:6F00:04FC:F5E8,108165,,Utah,Weber County,United States,Activated,Reachable,Available,Available,,1,Urban Sites DC Fast,Disabled,,Yes,Public,All Drivers,All Drivers,470261,481 DC,3.7.9.4-23874e35/v1.5.80000000000,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,6/14/2018 12:38,6/14/2021,Parts & Labor,,,,,,,,,,,,
SLC AIRPORT / ECONOMY 3,Salt Lake City,84114,475 North 3820 West,,Airport,Parking,Airport,CT4025-HD,Salt Lake City Department of Airports,0024:B100:0002:7406,1.71241E+11,,Utah,,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,Economy Parking Lot,Yes,Public,All Drivers,All Drivers,198243,CT4K GW1,4.3.5.70,Disabled,,40A,,ChargePoint Assure,6/20/2018 11:14,6/20/2022,Parts & Labor,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
SLC AIRPORT / ECONOMY 4,Salt Lake City,84114,475 North 3820 West,,Airport,Parking,Airport,CT4025-HD,Salt Lake City Department of Airports,0024:B100:0002:742B,1.71241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,Economy Parking Lot,Yes,Public,All Drivers,All Drivers,198923,CT4K GW1,4.3.5.70,Disabled,,40A,,ChargePoint Assure,6/20/2018 11:26,6/20/2022,Parts & Labor,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
SLC AIRPORT / EMPLOYEE 1,Salt Lake City,84114,775 North Terminal drive ,,Airport,Parking,Airport,CT4025-HD-GW,Salt Lake City Department of Airports,0024:B100:0002:738A,1.71241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,Employee,Yes,Public,All Drivers,All Drivers,197803,CT4K GW2,4.3.5.93,Disabled,,40A,,ChargePoint Assure,6/20/2018 11:23,6/20/2022,Parts & Labor,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
SLC AIRPORT / EMPLOYEE 2,Salt Lake City,84114,775 North Terminal Drive,,Airport,Parking,Airport,CT4025-HD,Salt Lake City Department of Airports,0024:B100:0002:73D6,1.71241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,Employee,Yes,Public,All Drivers,All Drivers,197951,CT4K GW2,4.3.5.93,Disabled,,40A,,ChargePoint Assure,6/20/2018 11:26,6/20/2022,Parts & Labor,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
SLC AIRPORT / EMPLOYEE 3,Salt Lake City,84114,775 North Terminal Drive,,Airport,Parking,Airport,CT4025-HD,Salt Lake City Department of Airports,0024:B100:0002:7426,1.71241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Inuse,Available,2,,Disabled,Employee,Yes,Public,All Drivers,All Drivers,198249,CT4K GW2,4.3.5.93,Disabled,,40A,,ChargePoint Assure,6/20/2018 11:35,6/20/2022,Parts & Labor,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
MAVERIK / MAVERIK 481 2,Farr West,84404,1874 W 2700 N,,,Retail,Shopping Center,CT4010-HD-GW,Maverik,0024:B100:0002:B6E0,1.80541E+11,,Utah,Weber County,United States,Activated,Reachable,Available,Available,,1,Urban Level 2,Disabled,,Yes,Public,All Drivers,All Drivers,486251,481 L2,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,6/14/2018 12:36,6/14/2021,Parts & Labor,,,,,,,,,,,,
MAVERIK / MAVERIK 488 2,Draper,84020,14814 Minuteman Dr,,,Retail,Shopping Center,CT4010-HD-GW,Maverik,0024:B100:0002:B6E3,1.80541E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,,1,Urban Level 2,Disabled,,Yes,Public,All Drivers,All Drivers,486291,14814 Minuteman Dr L2,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,5/8/2018 10:39,5/8/2021,Parts & Labor,,,,,,,,,,,,
MAVERIK / MAVERIK 508-2,Tooele,84074,6527 N HWY 36,,,Retail,Shopping Center,CT4010-HD-GW,Maverik,0024:B100:0002:D9C1,1.52241E+11,,Utah,Beaver County,United States,Activated,Reachable,Available,Available,,1,Urban Level 2,Disabled,,Yes,Public,All Drivers,All Drivers,486341,6527 N HWY 36,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,5/22/2018 7:33,5/22/2021,Parts & Labor,,,,,,,,,,,,
MAVERIK / MAVERIK 533 2,Wellsville,84339,748 E Main St,,,Retail,Shopping Center,CT4010-HD-GW,Maverik,0024:B100:0002:542A,1.63441E+11,,Utah,Cache County,United States,Activated,Reachable,Available,Available,,1,Urban Level 2,Disabled,,Yes,Public,All Drivers,All Drivers,486521,Maverik 533 2,4.3.5.93,Disabled,U.S. Dollars (USD),40A,,ChargePoint Assure,6/7/2018 7:20,6/7/2021,Parts & Labor,,,,,,,,,,,,
UVU / PARKING L13,Orem,84058,815 College Dr,,,Education,University / College,CT4020-HD-GW,Utah Valley University,0024:B100:0002:B908,1.80641E+11,,Utah,Utah County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,Permit is required to park,Yes,Public,All Drivers,All Drivers,494271,Parking L13,4.3.5.93,Disabled,,40A,,ChargePoint Assure,8/6/2018 7:26,8/6/2022,Parts & Labor,,,,,,,,,,,,
UVU / PARKING M23,Orem,84058,601 College Dr,,,Education,University / College,CT4020-HD-GW,Utah Valley University,0024:B100:0003:70B1,1.84341E+11,,Utah,Utah County,United States,Activated,Reachable,Available,Available,Inuse,2,,Disabled,Permit is required to park,Yes,Public,All Drivers,All Drivers,494291,Parking M23,4.3.5.93,Disabled,,40A,,ChargePoint Assure,8/6/2018 7:25,8/6/2022,Parts & Labor,,,,,,,,,,,,
UVU / PARKING GARAGE,Orem,84058,785 W 1000 S,,,Education,University / College,CT4010-HD-GW,Utah Valley University,0024:B100:0002:B947,1.80741E+11,1,Utah,Utah County,United States,Activated,Reachable,Not Ready,Inuse,,1,,Disabled,Hourly visitor parking rates apply while charging,No,Public,All Drivers,All Drivers,499291,Parking Garage,4.3.5.93,Disabled,,40A,,ChargePoint Assure,8/6/2018 7:32,8/6/2022,Parts & Labor,,,,,,,,,,,,
SLC AIRPORT / EMPLOYEE 4,Salt Lake City,84114,775 North terminal drive ,,Airport,Parking,Airport,CT4025-HD,Salt Lake City Department of Airports,0024:B100:0002:74F9,1.71241E+11,,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Inuse,2,,Disabled,Employee,Yes,Public,All Drivers,All Drivers,199119,CT4K GW2,4.3.5.93,Disabled,,40A,,ChargePoint Assure,6/20/2018 11:30,6/20/2022,Parts & Labor,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
SLC AIRPORT / HOURLY 1,Salt Lake City,84116,Hourly/Daily Parking,,Airport,Parking,Airport,CT4025-HD-GW,Salt Lake City Department of Airports,0024:B100:0002:6F23,1.71241E+11,P2,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Inuse,2,,Disabled,Hourly Parking,Yes,Public,All Drivers,All Drivers,197793,CT4K GW3,4.3.5.93,Disabled,,40A,,ChargePoint Assure,6/20/2018 11:36,6/20/2022,Parts & Labor,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
UVU / PARKING W2,Orem,84058,1518 1000 S,,,Education,University / College,CT4020-HD-GW,Utah Valley University,0024:B100:0002:C1EE,1.81141E+11,,Utah,Utah County,United States,Activated,Reachable,Available,Available,Inuse,2,,Disabled,,Yes,Public,All Drivers,All Drivers,546261,Parking W2,4.3.5.93,Disabled,,40A,,ChargePoint Assure,8/6/2018 7:28,8/6/2022,Parts & Labor,,,,,,,,,,,,
UVU / PARKING L6,Orem,84058,815 College Dr,,,Education,University / College,CT4020-HD-GW,Utah Valley University,0024:B100:0002:C160,1.81141E+11,,Utah,Utah County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,Permit is required to park,Yes,Public,All Drivers,All Drivers,546371,Parking L6,4.3.5.93,Disabled,,40A,,ChargePoint Assure,8/6/2018 7:30,8/6/2022,Parts & Labor,,,,,,,,,,,,
RMP NTO OFFICE / RMP MOAB CPE250,Moab,84532,400 N 100 W St,,,Utility,,CPE250C-500-CCS1-CHD,PacifiCorp,0024:B100:0001:1271,1.90702E+11,,Utah,Grand County,United States,Activated,Reachable,Available,Available,,1,,Disabled,,Yes,Public,All Drivers,All Drivers,1736451,RMP Moab CPE250,7.0.5.16/v7.0.5.16,Disabled,,,,Standard Warranty,4/30/2019 13:29,4/30/2020,Parts Only,,,,,,,,,,,,
RMP NTO OFFICE / RMP MOAB CT4K,Moab,84532,400 N 100 W,,,Utility,,CT4020-HD-GW,PacifiCorp,0024:B100:0003:1ABC,1.84241E+11,,Utah,Grand County,United States,Activated,Reachable,Available,Available,Available,2,,Disabled,,Yes,Public,All Drivers,All Drivers,1736491,RMP Moab CT4k,4.3.5.93,Disabled,,40A,,Standard Warranty,4/30/2019 13:19,4/30/2020,Parts Only,,,,,,,,,,,,
SLC AIRPORT / HOURLY 2,Salt Lake City,84116,Hourly/Daily Parking,,Airport,Parking,Airport,CT4025-HD,Salt Lake City Department of Airports,0024:B100:0002:7438,1.71341E+11,P2,Utah,Salt Lake County,United States,Activated,Reachable,Available,Inuse,Available,2,,Disabled,Hourly Parking,Yes,Public,All Drivers,All Drivers,198737,CT4K GW3,4.3.5.93,Disabled,,40A,,ChargePoint Assure,6/20/2018 11:38,6/20/2022,Parts & Labor,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
SLC AIRPORT / HOURLY 3,Salt Lake City,84116,Hourly/Daily Parking,,Airport,Parking,Airport,CT4025-HD-GW,Salt Lake City Department of Airports,0024:B100:0002:6FC2,1.71241E+11,P1,Utah,Salt Lake County,United States,Activated,Reachable,Available,Available,Inuse,2,,Disabled,Hourly Parking,Yes,Public,All Drivers,All Drivers,197811,CT4K GW4,4.3.5.93,Disabled,,40A,,ChargePoint Assure,6/20/2018 11:38,6/20/2022,Parts & Labor,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
SLC AIRPORT / HOURLY 4,Salt Lake City,84116,Hourly/Daily Parking,,Airport,Parking,Airport,CT4025-HD,Salt Lake City Department of Airports,0024:B100:0002:7552,1.71241E+11,P2,Utah,Salt Lake County,United States,Activated,Reachable,Inuse,Inuse,Inuse,2,,Disabled,Hourly Parking,Yes,Public,All Drivers,All Drivers,199139,CT4K GW4,4.3.5.93,Disabled,,40A,,ChargePoint Assure,6/20/2018 11:41,6/20/2022,Parts & Labor,,,,,,,,,City of Salt Lake City,0014000000v79LV,,
